doi,title,year,journal,systemType,anodeMaterials,cathodeMaterials,powerOutput,efficiency,qualityScore,parameterCompleteness,aiConfidence,reproducibilityScore,citationCount
10.1016/s1872-5813(14)60024-4,Treatment of sewage and synchronous electricity generation characteristics by microbial fuel cell,2014,Journal of Fuel Chemistry and Technology,MFC,,,,,,0.125,0.55,,7
10.1016/s1872-5813(15)30032-3,Optimization of double chamber microbial fuel cell for domestic wastewater treatment and electricity production,2015,Journal of Fuel Chemistry and Technology,MFC,,"[""Pt""]",,,,0.25,0.7,,41
10.1016/s1872-5813(17)30041-5,Impact of modified electrodes on boosting power density of microbial fuel cell for effective domestic wastewater treatment: A case study of Tehran,2017,Journal of Fuel Chemistry and Technology,MFC,,,,,,,0.6,,14
10.1017/9781108677950.018,"The Genetics, Biochemistry, and Biophysics of Carbon Cycling by Deep Life",2019,Deep Carbon,MES,,,,,,0.375,1,,1
10.1017/aer.2020.135,Conceptual design and numerical studies of active flow control aerofoil based on shape-memory alloy and macro fibre composites,2021,The Aeronautical Journal,,,,,,,,0.6,,7
10.1017/ash.2023.324,Exploring the relationship between the reduction of floor microbial burden and the impact on healthcare-associated infections,2023,Antimicrobial Stewardship &amp; Healthcare Epidemiology,MES,,,,,,0.125,1,,0
10.1017/cbo9780511525476,Bacterial Plant Pathology,1993,,MES,,,,,,0.125,0.9,,43
10.1017/cbo9780511541506,Bacterial Cell-to-Cell Communication,2006,,MES,,,,,,0.125,0.9,,16
10.1017/cbo9780511541537,Bacterial-Epithelial Cell Cross-Talk,2006,,MES,,,,,,0.125,0.9,,2
10.1017/cbo9780511841446,Ultra Low Power Bioelectronics,2010,,MES,,,,,,0.125,1,,283
10.1017/cbo9781139380584,Lectures on Electricity,2012,,MES,,,,,,0,0.9,,0
10.1017/jfm.2024.362,Ciliary propulsion through non-uniform flows,2024,Journal of Fluid Mechanics,MES,,,,,,0.125,1,,2
10.1017/s0021859606006228,Detection and quantification of the soil microbial biomass – impacts on the management of agricultural soils,2006,The Journal of Agricultural Science,MES,,,,,,0.25,1,,78
10.1017/s0022172400018556,The Application of Photo-Electricity to the Determination of Bacterial Growth Rate,1933,Journal of Hygiene,MES,,,,,,0.25,1,,8
10.1017/s0022172400064706,Use of an ammonia electrode to study bacterial deamination of amino acids with special reference to<scp>d</scp>-asparagine breakdown by campylobacters,1984,Journal of Hygiene,MES,,,,,,0.125,1,,7
10.1017/s0269727000009568,Future prospects for hydro electricity and windpower,1987,Proceedings of the Royal Society of Edinburgh. Section B. Biological Sciences,MES,,,,,,0.25,0.9,,1
10.1017/S0952523823000032,Pre-stimulus bioelectrical activity in light-adapted ERG under blue versus white background,2023,Visual Neuroscience,MES,,,,,,0.125,0.9,,17
10.1017/s1049023x18000225,Effective International Medical Disaster Relief: A Qualitative Descriptive Study,2018,Prehospital and Disaster Medicine,MES,,,,,,0.125,1,,19
10.1017/s1431927606069339,Catalytic Nanocrystals Electrochemically Formed in Active Mesoporous Nanocomposites,2006,Microscopy and Microanalysis,MES,,,,,,0.125,0.9,,1
10.1017/s1473550411000218,Sun-driven microbial synthesis of chemicals in space,2011,International Journal of Astrobiology,MES,,,,,,0.125,1,,25
10.1017/s147355041200002x,Diverse microbial species survive high ammonia concentrations,2012,International Journal of Astrobiology,MES,,,,,,0.375,1,,13
10.1017/s147355041200047x,Swansong biospheres: refuges for life and novel microbial biospheres on terrestrial planets near the end of their habitable lifetimes,2013,International Journal of Astrobiology,MES,,,,,,0.125,1,,74
10.1017/s1473550417000295,Niche for high abundant extremophilic microbial communities in an ancient crater,2018,International Journal of Astrobiology,MES,,,,,,0.375,0.95,,2
10.1017/S1759078719000576,Push–pull configuration of high-power MOSFETs for generation of nanosecond pulses for electropermeabilization of cells,2019,International Journal of Microwave and Wireless Technologies,MES,,,,,,0.125,1,,11
10.1021/ac000484h,Voltammetry on Microfluidic Chip Platforms,2000,Analytical Chemistry,MES,,,,,,0.125,0.7,,67
10.1021/AC034804J,Dielectrophoretic concentration and separation of live and dead bacteria in an array of insulators.,2004,Analytical Chemistry,MES,,,,,,0.375,1,,472
10.1021/ac101906a,Biological scanning electrochemical microscopy and its application to live cell studies.,2011,Analytical Chemistry,MES,,,,,,0.25,0.8,,83
10.1021/ac201329u,Light-Controlled Bioelectrochemical Sensor Based on CdSe/ZnS Quantum Dots,2011,Analytical Chemistry,BES,,,,,,0.125,0.55,,124
10.1021/ac4030736,Optical Impedance Spectroscopy with Single-Mode Electro-Active-Integrated Optical Waveguides,2014,Analytical Chemistry,MES,,,,,,0.125,0.9,,20
10.1021/ac502991g,Forensic electrochemistry applied to the sensing of new psychoactive substances: electroanalytical sensing of synthetic cathinones and analytical validation in the quantification of seized street samples.,2014,Analytical Chemistry,MES,,,,,,0.25,1,,99
10.1021/ac504032d,Dual functional graphene derivative-based electrochemical platforms for detection of the TP53 gene with single nucleotide polymorphism selectivity in biological samples.,2015,Analytical Chemistry,MES,,,,,,0.375,1,,83
10.1021/AC9805201,Biosensor for direct determination of organophosphate nerve agents using recombinant Escherichia coli with surface-expressed organophosphorus hydrolase. 1. Potentiometric microbial electrode.,1998,Analytical Chemistry,MES,,,,,,0.375,1,,179
10.1021/acs.accounts.1c00112,The Power of Fiber Twist.,2021,Accounts of Chemical Research,MES,,,,,,0.25,1,,113
10.1021/acs.accounts.1c00524,Resolving Chemical Dynamics in Biological Energy Conversion: Long-Range Proton-Coupled Electron Transfer in Respiratory Complex I,2021,Accounts of Chemical Research,MES,,,,,,0.125,1,,70
10.1021/acs.accounts.6b00483,Cyborgian Material Design for Solar Fuel Production: The Emerging Photosynthetic Biohybrid Systems,2017,Accounts of Chemical Research,,,,,,,,0.6,,145
10.1021/acs.accounts.9b00512,Electrochemical Oxidative Cross-Coupling with Hydrogen Evolution Reactions.,2019,Accounts of Chemical Research,MES,,,,,,0.25,0.9,,725
10.1021/acs.accounts.9b00523,Purposely Designed Hierarchical Porous Electrodes for High Rate Microbial Electrosynthesis of Acetate from Carbon Dioxide,2020,Accounts of Chemical Research,,,,,,,,0.6,,100
10.1021/acs.analchem.0c00645,Electrochemical Generation of Steady-State Linear Concentration Gradients within Microfluidic Channels Perpendicular to the Flow Field,2020,Analytical Chemistry,MES,,,,,,0.125,0.7,,11
10.1021/acs.analchem.0c01062,Electrochemical long period fiber grating sensing for electroactive species.,2020,Analytical Chemistry,MES,,,,,,0.25,1,,9
10.1021/acs.analchem.0c04628,Target-Triggered Assembly in a Nanopipette for Electrochemical Single-Cell Analysis.,2020,Analytical Chemistry,MES,,,,,,0.125,1,,61
10.1021/acs.analchem.0c05257,Two-Dimensional MnO2 Nanozyme-Mediated Homogeneous Electrochemical Detection of Organophosphate Pesticides without the Interference of H2O2 and Color.,2021,Analytical Chemistry,MES,,,,,,0.125,0.9,,378
10.1021/acs.analchem.1c02664,Anchoring PQQ-Glucose Dehydrogenase with Electropolymerized Azines for the Most Efficient Bioelectrocatalysis.,2021,Analytical Chemistry,MES,,,,,,0.25,0.9,,11
10.1021/acs.analchem.1c04910,Smartphone-Based Electrochemical Biosensors for Directly Detecting Serum-Derived Exosomes and Monitoring Their Secretion.,2022,Analytical Chemistry,MES,,,,,,0.125,0.9,,67
10.1021/acs.analchem.1c05426,An Immunosensor Using Electroactive COF as Signal Probe for Electrochemical Detection of Carcinoembryonic Antigen.,2022,Analytical Chemistry,MES,,,,,,0.375,1,,134
10.1021/acs.analchem.2c01216,Electrochemical Resistive-Pulse Sensing of Extracellular Vesicles.,2022,Analytical Chemistry,MES,,,,,,0.125,0.9,,35
10.1021/acs.analchem.2c01289,Computer-Aided Rational Construction of Mediated Bioelectrocatalysis with π-Conjugated (Hetero)cyclic Molecules: Toward Promoted Distant Electron Tunneling and Improved Biosensing.,2022,Analytical Chemistry,MES,,,,,,0.125,0.9,,9
10.1021/acs.analchem.2c02244,Nanocatalytic Interface to Decode the Phytovolatile Language for Latent Crop Diagnosis in Future Farms.,2022,Analytical Chemistry,MES,,,,,,0.25,0.9,,9
10.1021/acs.analchem.2c03389,Enzymes Encapsulated within Alginate Hydrogels: Bioelectrocatalysis and Electrochemiluminescence Applications,2022,Analytical Chemistry,MES,,,,,,0.25,0.9,,28
10.1021/acs.analchem.2c04477,Stretchable Electrochemical Sensor Based on a Gold Nanowire and Carbon Nanotube Network for Real-Time Tracking Cell-Released H2S.,2023,Analytical Chemistry,MES,,,,,,0.25,1,,38
10.1021/acs.analchem.2c05155,Self-Assembled Microfiber-Like Biohydrogel for Ultrasensitive Whole-Cell Electrochemical Biosensing in Microdroplets,2023,Analytical Chemistry,,,,,,,,0.6,,21
10.1021/acs.analchem.5b00455,Electrochemical push-pull probe: from scanning electrochemical microscopy to multimodal altering of cell microenvironment.,2015,Analytical Chemistry,MES,,,,,,0.125,0.9,,25
10.1021/acs.analchem.5b00898,Observation of nanometer-sized electro-active defects in insulating layers by fluorescence microscopy and electrochemistry.,2015,Analytical Chemistry,MES,,,,,,0.25,0.8,,16
10.1021/acs.analchem.5b01269,High-speed scanning electrochemical microscopy method for substrate kinetic determination: application to live cell imaging in human cancer.,2015,Analytical Chemistry,MES,,,,,,0.125,0.9,,35
10.1021/acs.analchem.5c05611,Self-Powered Anti-Interference Photoelectrochemical Immunosensor Enabled by a Ferroelectric Hybrid Coupled with a Platinum-Doped Peptide Hydrogel.,2026,Analytical chemistry,MES,,,,,,0.375,0.8,,2
10.1021/acs.analchem.5c06878,Laser-Induced Graphite Multi-Ion Sensor for Real-Time Assessment of Fucoxanthin Therapy in Alcoholic Liver Disease.,2026,Analytical chemistry,MES,,,,,,0.25,0.7,,0
10.1021/acs.analchem.6b00720,"Rational Design of Bioelectrochemically Multifunctional Film with Oxidase, Ferrocene, and Graphene Oxide for Development of in Vivo Electrochemical Biosensors",2016,Analytical Chemistry,,,,,,,,0.6,,31
10.1021/acs.analchem.6b00898,Synchrotron-Based Infrared Microanalysis of Biological Redox Processes under Electrochemical Control,2016,Analytical Chemistry,MES,,,,,,0.125,1,,24
10.1021/acs.analchem.6b03538,Wiring Bacterial Electron Flow for Sensitive Whole-Cell Amperometric Detection of Riboflavin,2016,Analytical Chemistry,,,,,,,,0.6,,59
10.1021/acs.analchem.8b04279,Linear Scanning ATR-FTIR for Chemical Mapping and High-Throughput Studies of <i>Pseudomonas</i> sp. Biofilms in Microfluidic Channels,2018,Analytical Chemistry,MES,,,,,,0.125,0.7,,33
10.1021/acs.analchem.9b01129,Electrochemical Aptasensor for Ultralow Fouling Cancer Cell Quantification in Complex Biological Media Based on Designed Branched Peptides.,2019,Analytical Chemistry,MES,,,,,,0.125,1,,137
10.1021/acs.analchem.9b04689,Diamond-like carbon thin film electrodes for microfluidic bioelectrochemical sensing platforms.,2020,Analytical Chemistry,BES,,,,,,0.25,1,,34
10.1021/acs.biochem.0c00116,The mechanism of catalysis by L-asparaginase.,2020,Biochemistry,MES,,,,,,0.375,0.9,,59
10.1021/acs.biochem.5b01328,[NiFe]-Hydrogenase Maturation,2016,Biochemistry,,,,,,,,0.6,,127
10.1021/acs.biochem.8b00600,Extracellular Electron Transfer by the Gram-Positive Bacterium <i>Enterococcus faecalis</i>,2018,Biochemistry,,,,,,,,0.6,,121
10.1021/acs.bioconjchem.2c00542,Carbon Electrode-Based Biosensing Enabled by Biocompatible Surface Modification with DNA and Proteins,2023,Bioconjugate Chemistry,,,,,,,,0.6,,13
10.1021/acs.biomac.0c00163,Environmentally Benign Nanoantibiotics with a Built-In Deactivation Switch Responsive to Natural Habitats.,2020,Biomacromolecules,MES,,,,,,0.25,1,,25
10.1021/acs.biomac.6b00053,Transition from Bioinert to Bioactive Material by Tailoring the Biological Cell Response to Carboxylated Nanocellulose.,2016,Biomacromolecules,MES,,,,,,0.25,0.9,,61
10.1021/acs.chemmater.6b02440,Jahn–Teller Assisted Na Diffusion for High Performance Na Ion Batteries,2016,Chemistry of Materials,,,,,,,,0.6,,235
10.1021/acs.chemrev.0c00345,Hydrogels and Hydrogel-Derived Materials for Energy and Water Sustainability.,2020,Chemical Reviews,MES,,,,,,0.125,0.9,,1286
10.1021/acs.chemrev.0c00472,"Fundamentals, Applications, and Future Directions of Bioelectrocatalysis.",2020,Chemical Reviews,MES,,,,,,0.125,0.9,,447
10.1021/acs.chemrev.0c01029,Metal-Organic Framework-Based Enzyme Biocomposites.,2021,Chemical Reviews,MES,,,,,,0.125,0.7,,717
10.1021/acs.chemrev.0c01049,"Two-Dimensional Metal-Organic Framework Materials: Synthesis, Structures, Properties and Applications.",2021,Chemical Reviews,MES,,,,,,0.25,0.7,,865
10.1021/acs.chemrev.1c00243,Metal-Organic Framework-Based Hierarchically Porous Materials: Synthesis and Applications.,2021,Chemical Reviews,MES,,,,,,0.125,0.7,,1481
10.1021/acs.chemrev.1c00396,"Electrochemical Methods for Water Purification, Ion Separations, and Energy Conversion",2022,Chemical Reviews,MES,,,,,,0.25,0.9,,542
10.1021/acs.chemrev.1c00632,"Biological Utility of Fluorinated Compounds: from Materials Design to Molecular Imaging, Therapeutics and Environmental Remediation.",2021,Chemical Reviews,MES,,,,,,0.125,0.9,,444
10.1021/acs.chemrev.2c00684,Critical Review on the Mechanisms of Fe2+ Regeneration in the Electro-Fenton Process: Fundamentals and Boosting Strategies.,2023,Chemical Reviews,MES,,,,,,0.375,0.8,,325
10.1021/acs.chemrev.3c00136,Biological and Bioinspired Thermal Energy Regulation and Utilization.,2023,Chemical Reviews,MES,,,,,,0.125,1,,77
10.1021/acs.chemrev.3c00196,"Smart and Multifunctional Materials Based on Electroactive Poly(vinylidene fluoride): Recent Advances and Opportunities in Sensors, Actuators, Energy, Environmental, and Biomedical Applications",2023,Chemical Reviews,MES,,,,,,0.125,1,,383
10.1021/acs.chemrev.4c00077,Expanding the Genetic Code of Bioelectrocatalysis and Biomaterials.,2024,Chemical Reviews,MES,,,,,,0.125,0.9,,17
10.1021/acs.chemrev.5b00361,Single and Coupled Electrochemical Processes and Reactors for the Abatement of Organic Water Pollutants: A Critical Review.,2015,Chemical Reviews,MES,,,,,,0.375,0.9,,1590
10.1021/acs.chemrev.6b00030,"Energy Transfer with Semiconductor Quantum Dot Bioconjugates: A Versatile Platform for Biosensing, Energy Harvesting, and Other Developing Applications.",2017,Chemical Reviews,MES,,,,,,0.25,0.9,,699
10.1021/acs.chemrev.6b00075,Graphitic Carbon Nitride (g-C3N4)-Based Photocatalysts for Artificial Photosynthesis and Environmental Remediation: Are We a Step Closer To Achieving Sustainability?,2016,Chemical Reviews,MES,,,,,,0.25,0.9,,6880
10.1021/acs.chemrev.6b00225,"Wood-Derived Materials for Green Electronics, Biological Devices, and Energy Applications.",2016,Chemical Reviews,MES,,,,,,0.25,0.9,,1486
10.1021/acs.chemrev.7b00397,Synthetic Organic Electrochemical Methods Since 2000: On the Verge of a Renaissance.,2017,Chemical Reviews,MES,,,,,,0.125,0.8,,3685
10.1021/acs.chemrev.7b00482,"Conducting Polymers in the Fields of Energy, Environmental Remediation, and Chemical-Chiral Sensors.",2018,Chemical Reviews,MES,,,,,,0.125,0.9,,465
10.1021/acs.chemrev.7b00707,"Flavin-Based Electron Bifurcation, A New Mechanism of Biological Energy Coupling.",2018,Chemical Reviews,MES,,,,,,0.125,0.9,,346
10.1021/acs.chemrev.7b00763,"Tetramethylpiperidine N-Oxyl (TEMPO), Phthalimide N-Oxyl (PINO), and Related N-Oxyl Species: Electrochemical Properties and Their Use in Electrocatalytic Reactions.",2018,Chemical Reviews,MES,,,,,,0.25,0.8,,970
10.1021/acs.chemrev.8b00233,Electrochemical Arylation Reaction.,2018,Chemical Reviews,MES,,,,,,0.25,0.9,,809
10.1021/acs.chemrev.8b00481,Theoretical Insights into Heterogeneous (Photo)electrochemical CO2 Reduction.,2018,Chemical Reviews,MES,,,,,,0.125,0.9,,617
10.1021/acs.chemrev.8b00705,Progress and Perspectives of Electrochemical CO2 Reduction on Copper in Aqueous Electrolyte.,2019,Chemical Reviews,MES,,,,,,0.375,0.8,,4741
10.1021/acs.chemrev.9b00223,State of the Art and Prospects in Metal-Organic Framework (MOF)-Based and MOF-Derived Nanocatalysis.,2019,Chemical Reviews,MES,,,,,,0.25,0.7,,2349
10.1021/acs.chemrev.9b00440,Ultraviolet Photodissociation Mass Spectrometry for Analysis of Biological Molecules.,2019,Chemical Reviews,MES,,,,,,0.125,0.9,,294
10.1021/acs.chemrev.9b00466,Carbon-Based Fibers for Advanced Electrochemical Energy Storage Devices.,2020,Chemical Reviews,MES,,,,,,0.25,0.9,,529
10.1021/acs.chemrev.9b00783,3D Printing for Electrochemical Energy Applications.,2020,Chemical Reviews,MES,,,,,,0.125,0.9,,413
10.1021/acs.energyfuels.0c01654,Treatment of <i>m</i>-Cresol Wastewater in an Anaerobic Fluidized Bed Microbial Fuel Cell Equipped with Different Modified Carbon Cloth Cathodes,2020,Energy & Fuels,MFC,,,,,,,0.6,,12
10.1021/acs.energyfuels.0c01710,Enhancing Microbial Electrosynthesis of Acetate and Butyrate from CO<sub>2</sub> Reduction Involving Engineered <i>Clostridium ljungdahlii</i> with a Nickel-Phosphide-Modified Electrode,2020,Energy & Fuels,,,,,,,,0.6,,44
10.1021/acs.energyfuels.0c02422,<i>In Situ</i> Growth of Mo<sub>2</sub>C on Cathodes for Efficient Microbial Electrosynthesis of Acetate from CO<sub>2</sub>,2020,Energy & Fuels,MFC,,,,,,,0.6,,32
10.1021/acs.energyfuels.1c02594,Bioplastic Production from the Microbial Electrosynthesis of Acetate through CO<sub>2</sub> Reduction,2021,Energy & Fuels,,,,,,,,0.6,,28
10.1021/acs.energyfuels.4c04765,MIL-100@ZIF-67 Enhanced Microbial Electroreduction of CO<sub>2</sub> to Produce CH<sub>4</sub> by Promoting Electron Transfer,2025,Energy & Fuels,,,,,,,,0.6,,2
10.1021/ACS.ENERGYFUELS.5B02537,Separation of Switchgrass Bio-Oil by Water/Organic Solvent Addition and pH Adjustment,2016,Energy &amp; Fuels,MES,,,,,,0.125,1,,53
10.1021/acs.energyfuels.6b00959,Surface Modification of a Graphite Fiber Fabric Anode for Enhanced Bioelectrochemical Methane Production,2016,Energy &amp; Fuels,BES,,,,,,0.25,0.8,,49
10.1021/acs.energyfuels.6b02294,Ultrasound Driven Biofilm Removal for Stable Power Generation in Microbial Fuel Cell,2016,Energy & Fuels,MFC,,,,,,,0.6,,61
10.1021/acs.energyfuels.7b00434,Electrogenic and Antimethanogenic Properties of<i>Bacillus cereus</i>for Enhanced Power Generation in Anaerobic Sludge-Driven Microbial Fuel Cells,2017,Energy & Fuels,MFC,,,,,,,0.6,,62
10.1021/acs.energyfuels.8b04215,Microbial Electrosynthesis of Bioalcohols through Reduction of High Concentrations of Volatile Fatty Acids,2019,Energy & Fuels,,,,,,,,0.6,,41
10.1021/acs.energyfuels.9b04145,Microbial Fuel Cells Simultaneously Treating Sulfide and Nitrate under Different Influent Sulfide to Nitrate Molar Ratios,2020,Energy & Fuels,MFC,,,,,,,0.6,,7
10.1021/acs.est.0c00141,Enhanced Current Production by Exogenous Electron Mediators via Synergy of Promoting Biofilm Formation and the Electron Shuttling Process,2020,Environmental Science & Technology,MFC,,,,,,,0.6,,113
10.1021/acs.est.0c01945,Insights into Ammonia Adaptation and Methanogenic Precursor Oxidation by Genome-Centric Analysis,2020,Environmental Science & Technology,,,,,,,,0.6,,108
10.1021/acs.est.0c06191,SARS-CoV-2 RNA in Wastewater Settled Solids Is Associated with COVID-19 Cases in a Large Urban Sewershed,2020,Environmental Science &amp; Technology,MES,,,,,,0.375,0.9,,393
10.1021/acs.est.0c06781,Enhancing Roxarsone Degradation and In Situ Arsenic Immobilization Using a Sulfate-Mediated Bioelectrochemical System.,2020,Environmental Science &amp; Technology,BES,,,,,,0.375,1,,40
10.1021/acs.est.0c07849,Capacitive Removal of Heavy Metal Ions from Wastewater via an Electro-Adsorption and Electro-Reaction Coupling Process.,2021,Environmental Science &amp; Technology,MES,,,,,,0.375,0.8,,232
10.1021/acs.est.0c08022,Long-Term Fertilization Shapes the Putative Electrotrophic Microbial Community in Paddy Soils Revealed by Microbial Electrosynthesis Systems,2021,Environmental Science & Technology,,,,,,,,0.6,,28
10.1021/acs.est.0c08355,Energy Taxis toward Redox-Active Surfaces Decreases the Transport of Electroactive Bacteria in Saturated Porous Media,2021,Environmental Science & Technology,,,,,,,,0.6,,32
10.1021/acs.est.0c08531,Critical Impact of Nitrogen Vacancies in Nonradical Carbocatalysis on Nitrogen-Doped Graphitic Biochar,2021,Environmental Science & Technology,,,,,,,,0.6,,213
10.1021/acs.est.1c01095,"Spatial Distribution, Bioconversion and Ecological Risk of PCBs and PBDEs in the Surface Sediment of Contaminated Urban Rivers: A Nationwide Study in China.",2021,Environmental Science &amp; Technology,MES,,,,,,0.375,0.9,,100
10.1021/acs.est.1c01512,"Weathering Plastics as a Planetary Boundary Threat: Exposure, Fate, and Hazards",2021,Environmental Science & Technology,,,,,,,,0.6,,296
10.1021/acs.est.1c03586,Impact of Periodic Polarization on Groundwater Denitrification in Bioelectrochemical Systems.,2021,Environmental Science &amp; Technology,MEC,,,,,,0.25,1,,39
10.1021/acs.est.1c06429,Identifying Functional Groups that Determine Rates of Micropollutant Biotransformations Performed by Wastewater Microbial Communities.,2021,Environmental Science &amp; Technology,MES,,,,,,0.25,1,,49
10.1021/acs.est.1c07023,"Inhalable Antibiotic Resistome from Wastewater Treatment Plants to Urban Areas: Bacterial Hosts, Dissemination Risks, and Source Contributions.",2022,Environmental Science &amp; Technology,MES,,,,,,0.375,0.9,,109
10.1021/acs.est.1c07023.s002,acs.est.1c07023 - Inhalable Antibiotic Resistome from Wastewater Treatment Plants to Urban Areas B,,,MES,,,,,,0.375,0.6,,
10.1021/acs.est.1c08338,Promotion of Phenol Electro-oxidation by Oxygen Evolution Reaction on an Active Electrode for Efficient Pollution Control and Hydrogen Evolution.,2022,Environmental Science &amp; Technology,MES,,,,,,0.25,0.9,,58
10.1021/acs.est.2c01858,"Inorganic Scaling in Membrane Desalination: Models, Mechanisms, and Characterization Methods.",2022,Environmental Science &amp; Technology,MES,,,,,,0.125,0.9,,198
10.1021/acs.est.2c02371,Suppressing Methane Production to Boost High-Purity Hydrogen Production in Microbial Electrolysis Cells.,2022,Environmental Science &amp; Technology,MEC,,,,,,0.25,1,,62
10.1021/acs.est.2c02976,"Integrating Biochar, Bacteria, and Plants for Sustainable Remediation of Soils Contaminated with Organic Pollutants",2022,Environmental Science &amp; Technology,MES,,,,,,0.5,0.9,,363
10.1021/acs.est.2c05085,Microbial Electrosynthesis of Acetate Powered by Intermittent Electricity,2022,Environmental Science & Technology,MFC,,,,,,,0.6,,39
10.1021/acs.est.2c06097,Conductive Materials on Biocathodes Altered the Electron-Transfer Paths and Modulated γ-HCH Dechlorination and CH4 Production in Microbial Electrochemical Systems.,2023,Environmental Science &amp; Technology,MES,,,,,,0.375,0.7,,35
10.1021/acs.est.2c07333,Gradual Recovery of Building Plumbing-Associated Microbial Communities after Extended Periods of Altered Water Demand during the COVID-19 Pandemic,2023,Environmental Science &amp; Technology,MES,,,,,,0.125,0.9,,18
10.1021/acs.est.2c07574,Combining <i>Geobacter</i> spp. Dominated Biofilms and Anaerobic Digestion Effluents─The Effect of Effluent Composition and Electrode Potential on Biofilm Activity and Stability,2023,Environmental Science & Technology,MEC,,,,,,,0.6,,7
10.1021/acs.est.2c07697,Radionuclide Reduction by Combinatorial Optimization of Microbial Extracellular Electron Transfer with a Physiologically Adapted Regulatory Platform,2022,Environmental Science & Technology,MEC,,,,,,,0.6,,13
10.1021/acs.est.2c08443,Prophage Induction Causes Geobacter Electroactive Biofilm Decay.,2023,Environmental science &amp; technology,MFC,,"[""Cu"",""Ni""]",,,,0.25,0.7,,27
10.1021/acs.est.2c09010,Identifying Eukaryotes and Factors Influencing Their Biogeography in Drinking Water Metagenomes,2023,Environmental Science & Technology,,,,,,,,0.6,,23
10.1021/acs.est.2c09014,Competitive Reactions during Ethanol Chain Elongation Were Temporarily Suppressed by Increasing Hydrogen Partial Pressure through Methanogenesis Inhibition,2023,Environmental Science & Technology,,,,,,,,0.6,,71
10.1021/acs.est.2c09786,<i>In Situ</i> Probing the Mass Transport Property Inside an Imitated Three-Dimensional Porous Bioelectrode,2023,Environmental Science & Technology,,,,,,,,0.6,,17
10.1021/acs.est.2c09871,Insights into the Electron Transfer Behaviors of a Biocathode Regulated by Cathode Potentials in Microbial Electrosynthesis Cells for Biogas Upgrading.,2023,Environmental Science &amp; Technology,BES,,,,,,0.25,1,,55
10.1021/acs.est.3c00407,Exogenous Electroactive Microbes Regulate Soil Geochemical Properties and Microbial Communities by Enhancing the Reduction and Transformation of Fe(III) Minerals.,2023,Environmental Science &amp; Technology,MES,,,,,,0.25,0.9,,38
10.1021/acs.est.3c00414,A Tale of Two Foulants: The Coupling of Organic Fouling and Mineral Scaling in Membrane Desalination.,2023,Environmental Science &amp; Technology,MES,,,,,,0.25,0.9,,83
10.1021/acs.est.3c00636,Nitrite Oxidation in Wastewater Treatment: Microbial Adaptation and Suppression Challenges,2023,Environmental Science &amp; Technology,MES,,,,,,0.25,1,,158
10.1021/acs.est.3c00644,Impact of Biogenic Carbon Neutrality Assumption for Achieving a Net-Zero Emission Target: Insights from a Techno-Economic Analysis.,2023,Environmental Science &amp; Technology,MES,,,,,,0.25,1,,24
10.1021/acs.est.3c02227,Enhancement of Ammonium Oxidation at Microoxic Bioanodes,2023,Environmental Science &amp; Technology,BES,,,,,,0.375,1,,22
10.1021/acs.est.3c05608,Interfacial Electron Transfer in Chemical and Biological Transformation of Pollutants in Environmental Catalysis.,2023,Environmental Science &amp; Technology,BES,,,,,,0.375,0.95,,23
10.1021/acs.est.3c05870,Synergistic Control of Trimethoprim and the Antimicrobial Resistome in Electrogenic Microbial Communities,2024,Environmental Science & Technology,,,,,,,,0.6,,28
10.1021/acs.est.3c05948,Magnetite Alters the Metabolic Interaction between Methanogens and Sulfate-Reducing Bacteria,2023,Environmental Science & Technology,,,,,,,,0.6,,70
10.1021/acs.est.3c07018,Re-evaluating the Contribution of a Fe-Based Current Collector to Bioelectrochemical Methanogenesis: Role and Mechanisms.,2023,Environmental Science &amp; Technology,BES,,,,,,0.25,1,,33
10.1021/acs.est.3c07035,"Photo-oxidation of Micro- and Nanoplastics: Physical, Chemical, and Biological Effects in Environments",2024,Environmental Science & Technology,,,,,,,,0.6,,208
10.1021/acs.est.3c10604,Mitigation of Triclocarban Inhibition in Microbial Electrolysis Cell-Assisted Anaerobic Digestion.,2024,Environmental Science &amp; Technology,MEC,,,,9.1,,0.375,0.7,,32
10.1021/acs.est.4c00123,Pt on Atomic-Layered WO<sub>3</sub> Islands: Electronic Tuning of Platinum–Tungsten Heterostructures for Highly Efficient Low-Temperature VOC Combustion,2024,Environmental Science &amp; Technology,MES,,"[""platinum"",""pt""]",12,,,0.375,0.65,0.116129032258064,21
10.1021/acs.est.4c00197,Zero-Emission Cement Plants with Advanced Amine-Based CO2 Capture.,2024,Environmental Science &amp; Technology,MES,,,,6.2,,0.375,1,,37
10.1021/acs.est.4c03169,"Sorting Out the Latest Advances in Separators and Pilot-Scale Microbial Electrochemical Systems for Wastewater Treatment: Concomitant Development, Practical Application, and Future Perspective.",2024,Environmental Science &amp; Technology,MFC,,,,,,0.375,0.7,,31
10.1021/acs.est.4c07616,Fulvic Acid Enhances Nitrogen Fixation and Retention in Paddy Soils through Microbial-Coupled Carbon and Nitrogen Cycling,2024,Environmental Science & Technology,,,,,,,,0.6,,33
10.1021/acs.est.5b02345,Profile and Fate of Bacterial Pathogens in Sewage Treatment Plants Revealed by High-Throughput Metagenomic Approach.,2015,Environmental Science &amp; Technology,MES,,,,9.5e-05,,0.375,0.9,,214
